,phase,S_score,G2M_score
SRR4216547,S,0.20533546146171455,-0.014271169885910595
SRR4216548,G1,-0.29490406773222044,-0.2598220555593782
SRR4216549,G2M,0.16158145490667208,0.45836901717818535
SRR4216550,S,0.24014003957925412,0.03609973041951142
SRR4216551,S,0.5586331728161767,-0.16733857231356586
SRR4216552,S,0.1275218175444779,-0.08170972277633015
SRR4216553,S,0.24320391202327207,-0.022796894981199634
SRR4216554,G1,-0.17644379029997181,-0.2905814298172069
SRR4216555,S,1.1094962960369688,0.42962732132178294
SRR4216556,S,0.19739484131954477,-0.23873063657147298
SRR4216557,G1,-0.5015830357334745,-0.2045827612301181
SRR4216558,S,0.24891570839589128,0.09644907791279067
SRR4216559,S,0.4231844924229482,0.10561619655655985
SRR4216560,G1,-0.37951228101947987,-0.4278324488583869
SRR4216561,S,0.3427753977859793,-0.01314483524216481
SRR4216562,G2M,0.08779897387702151,0.13246269804183197
SRR4216563,G2M,-0.12483173623818922,0.19320907488659023
SRR4216564,G1,-0.14168258016771862,-0.2285997278002121
SRR4216565,G1,-0.07712143517556491,-0.22732373910038273
SRR4216566,G1,-0.009869853822597419,-0.3133712239215096
SRR4216567,G1,-0.1374184544560353,-0.10022087428690196
SRR4216568,S,0.054550031871063,-0.06424458712020464
SRR4216569,G2M,-0.21102677910208267,0.1827309604418188
SRR4216570,S,0.06968358507469175,-0.0510206775299511
SRR4216571,G1,-0.15352089798747914,-0.053661279309149545
SRR4216572,S,0.8724050508482569,0.22300400720590963
SRR4216573,G1,-0.06271937771073421,-0.16364610043611794
SRR4216574,S,0.08161501487430356,-0.03046039684591295
SRR4216575,G2M,0.12063086798186373,0.20026283727195304
SRR4216576,G2M,-0.13004907052457448,0.18630883331178283
SRR4216577,S,0.14348755225033727,-0.3593291502047533
SRR4216578,G1,-0.0425977362014347,-0.35214027416292537
SRR4216579,G2M,-0.05113164390005709,0.029308648148136607
SRR4216580,G2M,0.07990849021438928,0.17003846012688917
SRR4216581,G2M,-0.24139485895249368,0.017712184909019824
SRR4216582,S,0.07507661948325683,-0.13141873598115883
SRR4216583,G1,-0.10028427055579181,-0.058117731235873604
SRR4216584,S,0.03767238239430559,-0.021150457065338024
SRR4216585,G1,-0.3444850997561195,-0.15085548379508062
SRR4216586,G1,-0.05893593593776014,-0.11603427643937925
SRR4216587,S,0.09953696954340563,0.022775540567288477
SRR4216588,G1,-0.10685391823116519,-0.2929565195704058
SRR4216589,S,0.11956156994536493,-0.125992150345402
SRR4216590,G2M,-0.04385561310746988,0.033354339128354615
SRR4216591,S,0.21139369480142678,-0.011181710326858996
SRR4216592,S,0.29153682472393694,-0.25815706144142614
SRR4216593,G1,-0.04734922665188801,-0.15914220247581712
SRR4216594,S,0.28452067245513324,-0.29245723589290473
SRR4216595,S,0.1947420931410515,-0.03342871134080627
SRR4216596,G2M,-0.19511520411408778,0.02645007435347191
SRR4216597,G2M,-0.0751492848140971,0.11509816759423619
SRR4216598,S,0.10782318393289114,-0.0627638842793603
SRR4216599,G1,-0.20914338167755742,-0.24015780706939238
SRR4216600,G2M,-0.36980243594097706,0.11986395933072758
SRR4216601,G2M,0.40184404604702983,0.4086442385854834
SRR4216602,G1,-0.052849103597689684,-0.1314920117044589
SRR4216603,G1,-0.24575313079380556,-0.23283167151826678
SRR4216604,S,0.3071446847875545,0.023508272593642854
SRR4216605,S,0.012140236082683886,-0.3806732296643993
SRR4216606,G1,-0.27525338787039266,-0.17204241104306806
SRR4216607,S,0.20476486103388314,0.007010648607274406
